student_id,sub_sample_group,life_direction_meaning,college_work_resilience,campus_seen_supported,emotionally_steady,hopeful_future,clear_values,life_depth_moments,cheerful_spirits,college_growth,academic_wellbeing,biggest_challenge,school_time_energy,faculty_staff_support,people_to_turn_to,know_support_resources,focus_place,enough_sleep,parent_caregiver_support,enjoyable_company,feels_alone,phone_social_media_interference,physical_activity,alcohol_cannabis_social_coping,money_stress,study_hours_outside_class,life_priority,age_group,college_stage,gender,race_ethnicity,parent_four_year_college,college_goal,major_field,major_confidence,spring_credits,class_modality,paid_work_hours,wellbeing_index
S045,A,SA,A,A,N,SA,SA,A,N,SA,N,Mental stress,N,N,SA,N,A,N,A,VO,R,O,S,S,Ext,5 to 10 hours,Enjoy life,18 or 19,First year,Woman,East Asian,No,Transfer,Health professions,Some conf.,12 to 14 credits,More online,10 to 19 hours,4.12
S046,A,SA,A,N,N,SA,SA,A,A,N,A,Motivation,N,A,A,D,D,SA,A,O,S,S,VO,O,Slight,5 to 10 hours,Money,22 to 25,First year,Woman,East Asian,Yes,Transfer,STEM,Some conf.,15 or more credits,Equal,20 to 29 hours,4.12
S047,A,A,A,A,,A,A,A,A,A,A,Motivation,A,A,A,SA,A,D,SA,O,R,S,O,R,Slight,5 to 10 hours,Money,18 or 19,First year,Woman,Latino/Hispanic,No,Transfer,Social sciences,Some conf.,15 or more credits,All/mostly in-person,20 to 29 hours,4.0
S048,C,A,A,A,A,A,A,A,A,A,A,Motivation,N,D,SA,A,A,D,SD,VO,R,S,VO,Nvr,Slight,11 to 19 hours,Enjoy life,Prefer not,First year,Man,Latino/Hispanic,No,Transfer,Business,Very conf.,12 to 14 credits,Equal,30 or more hours,4.0
S049,D,N,A,N,A,SA,A,N,N,N,A,Motivation,N,SA,SA,SA,A,A,SA,VO,S,O,O,Nvr,Slight,11 to 19 hours,Friends/relations,18 or 19,Third+,Man,South Asian,Yes,Transfer,STEM,Very conf.,15 or more credits,More in-person,0 hours,3.62
S050,C,N,D,A,N,N,N,N,N,N,SD,Motivation,N,SA,A,A,A,SD,N,S,R,VO,Nvr,Nvr,Slight,under 5 hours,School,20 or 21,Third+,Woman,East Asian,No,Transfer,STEM,Some conf.,12 to 14 credits,All/mostly in-person,1 to 9 hours,3.0
S051,D,SA,SA,A,A,SA,SA,SA,A,SA,A,Motivation,A,SA,SA,A,A,A,SA,VO,S,O,O,Nvr,Mod,5 to 10 hours,School,18 or 19,First year,Man,MENA,Yes,Transfer,Business,Very conf.,9 to 11 credits,All/mostly in-person,0 hours,4.62
S052,B,A,A,N,N,A,A,A,D,A,A,Low energy,N,N,N,A,N,D,D,O,S,R,R,Nvr,Very,5 to 10 hours,Future,26 or older,Prefer not,Woman,East Asian,Yes,Transfer,STEM,Low conf.,12 to 14 credits,All/mostly in-person,0 hours,3.5
S053,B,A,SA,A,N,A,A,A,A,A,A,Mental stress,D,A,N,D,N,N,SA,S,S,R,S,Nvr,Very,under 5 hours,Enjoy life,26 or older,First year,Woman,East Asian,Yes,Associate,Health professions,Low conf.,12 to 14 credits,More in-person,0 hours,4.0
S054,C,A,A,A,A,A,A,A,A,A,A,Low energy,A,SA,A,A,A,A,A,O,S,O,VO,O,Very,5 to 10 hours,Money,26 or older,Second year,Man,Black/African Am.,Not sure,Transfer,STEM,Very conf.,12 to 14 credits,All/mostly in-person,1 to 9 hours,4.0
S055,D,A,A,A,A,D,D,A,A,N,A,Motivation,A,A,A,A,A,A,A,O,R,O,O,R,Very,5 to 10 hours,Future,22 to 25,First year,Man,East Asian,No,Transfer,STEM,Some conf.,12 to 14 credits,Equal,0 hours,3.5
S056,C,A,A,A,A,A,SA,A,A,A,N,Motivation,A,A,A,N,A,D,N,O,R,S,S,R,Prefer not,11 to 19 hours,Future,18 or 19,Second year,Woman,East Asian,No,Transfer,Business,Some conf.,15 or more credits,More online,10 to 19 hours,4.12
S057,D,A,A,N,A,A,A,A,A,N,A,Motivation,A,N,A,A,A,A,A,O,R,S,S,Nvr,No stress,5 to 10 hours,Mental well-being,20 or 21,Second year,Woman,East Asian,Yes,Transfer,Business,Some conf.,12 to 14 credits,Equal,1 to 9 hours,3.88
S058,B,A,N,N,A,A,N,D,D,D,A,Low energy,SD,SA,A,A,D,SD,A,R,S,VO,O,Nvr,Slight,20 or more hours,School,18 or 19,First year,Man,South Asian,Not sure,Transfer,STEM,Very conf.,15 or more credits,Equal,0 hours,3.12
S059,C,A,A,N,A,N,N,N,D,SA,A,Motivation,A,SA,N,D,SA,A,A,S,VO,VO,VO,Nvr,No stress,5 to 10 hours,School,17 or younger,Second year,Prefer not,East Asian,Yes,Transfer,Business,Not conf.,15 or more credits,Equal,1 to 9 hours,3.25
S060,D,A,D,SA,A,A,A,A,A,A,A,Motivation,A,SA,A,A,N,D,A,S,S,VO,S,O,Mod,under 5 hours,Enjoy life,20 or 21,Second year,Woman,East Asian,Yes,Transfer,STEM,Some conf.,15 or more credits,All/mostly in-person,10 to 19 hours,3.88
S061,C,A,SA,N,A,A,A,A,A,A,A,Motivation,A,N,SA,A,SA,A,SA,VO,S,O,O,Nvr,Mod,5 to 10 hours,School,18 or 19,First year,Man,Multiracial,Yes,Other,Humanities,Some conf.,12 to 14 credits,Equal,1 to 9 hours,4.0
S062,B,A,A,A,A,D,D,A,A,A,D,Motivation,SD,SA,A,SA,A,SD,N,S,S,S,S,R,Ext,20 or more hours,Other,20 or 21,Third+,Woman,East Asian,Yes,Transfer,Business,Unsure,15 or more credits,Equal,0 hours,3.5
